"fish_level","direction","mean_total","conv_type","conv_years","theta","interaction_resource","knife_edge_size","fraction_of_unfished"
10,"up",0.295205500262967,"cycle",45.2,0,1,5,0.236869869650871
20,"up",0.391655840062177,"cycle",18.4,0,1,5,0.314260634374665
30,"up",0.0328321995296694,"cycle",18.8,0,1,5,0.0263442206057019
50,"up",0.0584227654281263,"steady",5.4,0,1,5,0.046877828561041
100,"up",NA,"extinction",9.8,0,1,5,NA
100,"down",NA,"extinction",10.6,0,1,5,NA
50,"down",0.0576217511025206,"steady",30.8,0,1,5,0.0462351028708838
30,"down",0.027224510714006,"cycle",8,0,1,5,0.0218446685390039
20,"down",0.0615871519365396,"cycle",12,0,1,5,0.0494168998829002
10,"down",0.624931277248482,"cycle",32.8,0,1,5,0.501438455756206
10,"up",1.07956284553806,"steady",11,0,1,10,0.866230169406515
20,"up",1.12003047152097,"steady",14.4,0,1,10,0.898700977989394
30,"up",0.642277980926331,"steady",30.6,0,1,10,0.515357273106778
50,"up",0.515796437093253,"steady",7.8,0,1,10,0.413869777872799
100,"up",0.501630573394467,"steady",1.4,0,1,10,0.402503233940404
100,"down",0.458354655228253,"steady",0.2,0,1,10,0.367779080474695
50,"down",0.517559821123182,"steady",4.8,0,1,10,0.415284699156249
30,"down",0.532865400770178,"steady",1.4,0,1,10,0.427565739491492
20,"down",0.616777487496257,"steady",5.4,0,1,10,0.494895938377466
10,"down",0.842571755052028,"steady",8.4,0,1,10,0.676070945876331
10,"up",1.23558294846146,"steady",1.4,0,1,15,0.991419101894083
20,"up",1.22569571989391,"steady",1,0,1,15,0.983485690965365
30,"up",1.21923075462394,"steady",0.8,0,1,15,0.978298269052727
50,"up",1.21536094801651,"steady",0.6,0,1,15,0.975193175868963
100,"up",1.21219167292209,"steady",0.6,0,1,15,0.972650181995768
100,"down",1.22696606353717,"steady",0.2,0,1,15,0.98450500169272
50,"down",1.21990777028337,"steady",0.6,0,1,15,0.97884149948325
30,"down",1.21402411750463,"steady",0.8,0,1,15,0.974120516759252
20,"down",1.21171654024681,"steady",0.8,0,1,15,0.972268940403858
10,"down",1.2139412326143,"steady",1.2,0,1,15,0.974054010772235
10,"up",0.907250048015766,"steady",16.8,0,2,5,0.922919433585437
20,"up",0.0657503992338834,"cycle",51.4,0,2,5,0.0668859939458471
30,"up",0.0216205488668185,"cycle",17,0,2,5,0.0219939638004005
50,"up",0.0211613614654956,"cycle",11.6,0,2,5,0.0215268456368189
100,"up",0.0402572431402601,"steady",1.8,0,2,5,0.0409525379667705
100,"down",0.040065072767954,"steady",0.2,0,2,5,0.040757048562776
50,"down",0.0252051366701136,"cycle",9.2,0,2,5,0.0256404620863911
30,"down",0.329811138367875,"cycle",16,0,2,5,0.335507404687795
20,"down",0.399348065452149,"cycle",30.2,0,2,5,0.406245324733377
10,"down",0.250090899599359,"steady",11.8,0,2,5,0.2544102939514
10,"up",0.866410808464449,"steady",8.6,0,2,10,0.881374847374397
20,"up",0.881295597594718,"steady",5.8,0,2,10,0.896516716127329
30,"up",0.901305268202237,"steady",4,0,2,10,0.916871979710629
50,"up",0.9164721564209,"steady",6.2,0,2,10,0.932300819769261
100,"up",0.926518011749226,"steady",6.6,0,2,10,0.942520180054529
100,"down",0.94504993620331,"steady",0.2,0,2,10,0.961372174890813
50,"down",0.979440952838513,"steady",1.4,0,2,10,0.996357169008815
30,"down",1.05455252905333,"steady",2.2,0,2,10,1.07276601960905
20,"down",1.11761328777112,"steady",2.4,0,2,10,1.13691591945704
10,"down",1.1875978874355,"steady",3.4,0,2,10,1.20810924396908
10,"up",0.9647786098171,"steady",1.4,0,2,15,0.981441588297683
20,"up",0.954090680651993,"steady",1,0,2,15,0.970569064727323
