"theta","mean_total","mean_yield","conv_type","conv_years","direction","interaction_resource","knife_edge_size","fish_level"
0,0.82365463616751,0.0605084277743689,"steady",20.8,"up",5,10,10
0.1,0.751026229691979,0.0642532199549262,"steady",1,"up",5,10,10
0.2,0.577451752153693,0.0639685861628708,"steady",4.8,"up",5,10,10
0.3,0.554528134146919,0.0623204395555007,"steady",3.4,"up",5,10,10
0.4,0.590362868678966,0.0595919449914104,"steady",5.2,"up",5,10,10
0.5,0.628461658899853,0.0594411731549845,"steady",4,"up",5,10,10
0.6,0.706898717710377,0.0590423880788123,"steady",5.8,"up",5,10,10
0.7,0.751612790561989,0.0581040369538522,"steady",6.2,"up",5,10,10
0.8,0.75674526384842,0.0536903748713398,"steady",10.6,"up",5,10,10
0.9,0.691368853820036,0.0497490531067857,"steady",6.2,"up",5,10,10
1,0.579898472014113,0.0445909674674946,"steady",6.8,"up",5,10,10
1,0.578689110878911,0.0445021342615101,"steady",23.4,"down",5,10,10
0.9,0.580046842738919,0.0436875865169201,"steady",1.2,"down",5,10,10
0.8,0.59631354602521,0.0429276675954933,"steady",1.8,"down",5,10,10
0.7,0.626283221728942,0.0428713699200817,"steady",2,"down",5,10,10
0.6,0.719099395616017,0.0464481597498076,"steady",5,"down",5,10,10
0.5,0.812376059971236,0.049579850722185,"steady",4.4,"down",5,10,10
0.4,0.876327346570927,0.0509399461921713,"steady",3.2,"down",5,10,10
0.3,0.92617914904489,0.0529094113487384,"steady",5.2,"down",5,10,10
0.2,0.920697755692045,0.0546999782699647,"steady",5,"down",5,10,10
0.1,0.903091637706939,0.0563765874751063,"steady",4.6,"down",5,10,10
0,0.942746830912449,0.0559256017884282,"steady",3.8,"down",5,10,10
