"fish_level","conv_type","conv_years","conv_period","yield_mean","yield_min","yield_max"
0,"not_converged",100,NA,0,0,0
5,"cycle",27.4,9.12,0.0355880821311046,0.01290886288599,0.288711093086677
10,"cycle",26.4,8.77,0.0444287278897882,0.0103598766163494,0.416584991838613
15,"cycle",24.4,8.097,0.0490372644567785,0.0073470061565067,0.483505910316897
20,"cycle",22.6,7.483,0.052334691654224,0.0056308936069771,0.515058252258253
25,"cycle",21,6.984,0.0547246179664356,0.00438217523180912,0.556663789125909
30,"cycle",19.8,6.588,0.057428848151494,0.00478085961109522,0.563079799842829
35,"cycle",19,6.273,0.0590786115398696,0.0035329833045881,0.58896325860859
40,"cycle",18.2,6.018,0.0611491725420087,0.0037699964707381,0.603615659243166
45,"cycle",17.6,5.81,0.0618132425722162,0.00298847587350238,0.609064765521365
50,"cycle",17,5.637,0.0632876085654429,0.00286548438458025,0.581894913143768
55,"cycle",16.6,5.493,0.0652076836871565,0.00283871342070234,0.58949312773448
60,"cycle",16.2,5.369,0.0655296788443374,0.00272782587290531,0.628108633210321
65,"cycle",15.8,5.264,0.0668565005884301,0.00304304156390048,0.628889907360342
70,"cycle",15.6,5.172,0.068028334968161,0.00409793029979301,0.566324489313143
75,"cycle",15.4,5.092,0.0683939268209498,0.00260629089495437,0.59987171353503
80,"cycle",15.2,5.021,0.0702641574788715,0.00385685570557369,0.642922169154407
85,"cycle",15,4.958,0.070657187584963,0.00315221877083783,0.645120704638343
90,"cycle",14.8,4.902,0.070292466843992,0.00351461289006193,0.649220575597878
95,"cycle",14.6,4.851,0.070778207036666,0.0025288170008536,0.652195997876925
100,"cycle",14.6,4.806,0.0728239522305991,0.00438583907821449,0.639279724267582
