"fish_level","direction","conv_type","conv_years","conv_period","yield_mean","yield_min","yield_max"
0,"up","steady",28.8,NA,0,0,0
5,"up","steady",6.4,NA,0.0426707217095674,0.0425019036927021,0.0427976268113509
10,"up","steady",6.4,NA,0.0533102855501325,0.052518040329006,0.0538499706703618
15,"up","steady",8.2,NA,0.0499893876872702,0.0474102194275057,0.0526567286032886
20,"up","steady",7,NA,0.0432706283291159,0.0414506556931742,0.0451734418917948
25,"up","steady",6.6,NA,0.0376207677387832,0.036150202295214,0.0391375216830224
30,"up","steady",25.8,NA,0.024148424945813,0.0223306076413761,0.0269354902112369
35,"up","steady",1.8,NA,0.0225198585649193,0.0225114304267975,0.0225304241011717
40,"up","steady",4.8,NA,0.022602221705956,0.0225695237351463,0.0226873567955275
45,"up","steady",0.8,NA,0.0230176094005376,0.0229887758898775,0.0230464429111977
50,"up","steady",0.8,NA,0.0233977983980291,0.0233651359236461,0.0234304608724122
55,"up","steady",0.6,NA,0.0236968286117376,0.0236657676649507,0.0237278895585244
60,"up","steady",0.6,NA,0.0239595364967186,0.023933171020395,0.0239859019730422
65,"up","steady",0.6,NA,0.0241776674844136,0.0241566410725478,0.0241986938962795
70,"up","steady",0.6,NA,0.0243617158338032,0.0243426545859841,0.0243807770816223
75,"up","steady",0.6,NA,0.024541786805833,0.0245194391535211,0.0245641344581448
80,"up","steady",0.6,NA,0.0247436045469964,0.0247156732729952,0.0247715358209976
85,"up","steady",0.6,NA,0.0249718321470084,0.0249390651106736,0.0250045991833432
90,"up","steady",0.6,NA,0.0252213206549112,0.0251846918646053,0.0252579494452171
95,"up","steady",0.6,NA,0.0254884146428462,0.0254484767796873,0.0255283525060051
100,"up","steady",0.6,NA,0.0257701046112956,0.0257275825410861,0.0258126266815051
100,"down","steady",0.2,NA,0.0270447712640542,0.0268935542565575,0.027195988271551
95,"down","steady",0.6,NA,0.0278112586661708,0.0276966659715503,0.0279258513607913
90,"down","steady",0.6,NA,0.0283189113756239,0.0282507885568546,0.0283870341943932
85,"down","steady",2.6,NA,0.0282728666247175,0.0279852989666271,0.0285097118289092
80,"down","steady",0.6,NA,0.0276342368242551,0.0275720361673657,0.0276964374811445
75,"down","steady",0.6,NA,0.0271997268277667,0.0271371523790768,0.0272623012764565
70,"down","steady",0.6,NA,0.0267765956420529,0.0267204095979002,0.0268327816862057
65,"down","steady",0.6,NA,0.0263982486716603,0.0263530093704792,0.0264434879728413
60,"down","steady",0.6,NA,0.026078802940743,0.0260454324642086,0.0261121734172775
55,"down","steady",0.6,NA,0.025811356399162,0.0257878936310341,0.02583481916729
50,"down","steady",0.6,NA,0.0255756166299933,0.0255590713724426,0.025592161887544
45,"down","steady",0.6,NA,0.0253501910060457,0.0253386993743678,0.0253616826377237
40,"down","steady",0.8,NA,0.0251066020221563,0.0251014944680783,0.0251117095762343
35,"down","steady",0.8,NA,0.0248591515899977,0.0248587580791095,0.024859545100886
30,"down","steady",1,NA,0.0245666665026252,0.0245640796905557,0.0245695773012732
25,"down","steady",4,NA,0.0241612369405117,0.0241109519562363,0.024177695431885
20,"down","steady",1.4,NA,0.0232612674316221,0.0231812883586072,0.0233425042849394
15,"down","steady",5.8,NA,0.0227915150289578,0.0223623841841291,0.0230513833476906
10,"down","steady",7.8,NA,0.0227984231202951,0.02180327059312,0.0235862007977404
5,"down","steady",10,NA,0.0216737060970812,0.0201605647406265,0.0232133805660497
0,"down","steady",5.2,NA,0,0,0
