"theta","mean_total","min_total","max_total","mean_yield","min_yield","max_yield","conv_type","conv_years","conv_period","residual","direction","interaction_resource","knife_edge_size","fish_level","tol","t_max"
0,0.847875206607557,0.843342478965104,0.851381019689804,0.0810512688940664,0.0796693593014599,0.0816617786258592,"steady",39.4,NA,0.000281383859067728,"up",5,10,25,1e-05,300
0.1,0.794652708869675,0.789237029963085,0.79626062039802,0.0803494053537606,0.0795508739440053,0.0811811910311271,"steady",32.6,NA,0.000116239488792231,"up",5,10,25,1e-05,300
0.2,0.828431032001811,0.824035887743521,0.830178931597973,0.0783011412941258,0.0774987145319089,0.0795304562191835,"steady",35.8,NA,8.80319218720875e-05,"up",5,10,25,1e-05,300
0.3,0.869479472356334,0.862924705868723,0.871783957044862,0.0749580612854438,0.0742191605005393,0.0757563861815961,"steady",47.8,NA,0.00043542527947654,"up",5,10,25,1e-05,300
0.4,0.857630494875022,0.846285348994818,0.866896583540345,0.0693258338007689,0.0687364897184496,0.070101093819127,"steady",67.8,NA,0.000623938361425063,"up",5,10,25,1e-05,300
0.5,0.784207454056519,0.771064303174873,0.800108585096442,0.0643322005940985,0.0635449828907226,0.065591513673259,"steady",33.8,NA,0.000826607224813161,"up",5,10,25,1e-05,300
0.6,0.680306012046095,0.668295627518179,0.699552157890039,0.0591831786278504,0.0586284382765219,0.0602711006544065,"steady",27.6,NA,0.000615034799995216,"up",5,10,25,1e-05,300
0.7,0.577934154372794,0.573861023411352,0.590939915902943,0.0550711307311979,0.0549158509824189,0.0556610697794162,"steady",23.8,NA,0.000446880117149425,"up",5,10,25,1e-05,300
0.8,0.5038170392421,0.499483979435294,0.512079752607759,0.0520899310166927,0.0519120344485783,0.0524743132097088,"steady",19.6,NA,0.000386327042018526,"up",5,10,25,1e-05,300
0.9,0.442985258121942,0.442211568571591,0.4446176377631,0.0498312014743541,0.0497130286671257,0.0499538834025577,"steady",20,NA,0.00049902531521169,"up",5,10,25,1e-05,300
1,0.396572219397013,0.396149947840049,0.397880983812664,0.0479120592008412,0.047849200719849,0.0479946890506942,"steady",20,NA,0.000376331181890891,"up",5,10,25,1e-05,300
1,0.403085954687392,0.393027518262349,0.455854333044637,0.0480285823497238,0.04744845119655,0.050892346912426,"steady",39.6,NA,0.000448015901300976,"down",5,10,25,1e-05,300
0.9,0.445494731757761,0.444300260350294,0.446200452107375,0.050058745985952,0.0499436292076974,0.0501747809029711,"steady",18.8,NA,0.000494678666872012,"down",5,10,25,1e-05,300
0.8,0.502350713291305,0.500775913239256,0.503279386532805,0.0521695034162824,0.0520101682395042,0.0523148080137834,"steady",22.6,NA,0.000547451179818453,"down",5,10,25,1e-05,300
0.7,0.577108653862573,0.572118157451154,0.578443606560652,0.0552776766628997,0.0551366035184426,0.0553797380491308,"steady",22.8,NA,0.000558890371271171,"down",5,10,25,1e-05,300
0.6,0.663418171527265,0.649430531575076,0.670580069140431,0.0586794697666078,0.0581365533435527,0.0589329693470173,"steady",20.8,NA,0.000452305106037342,"down",5,10,25,1e-05,300
0.5,0.76623178973805,0.747584507316072,0.775928149174252,0.0626812017657546,0.0618275900117066,0.0629980213066982,"steady",23.2,NA,0.000555905263494897,"down",5,10,25,1e-05,300
0.4,0.861266507962232,0.84463755337695,0.872714647179441,0.0674193882027049,0.0665503985973254,0.0680581161392065,"steady",30.8,NA,0.000807837411639467,"down",5,10,25,1e-05,300
0.3,0.901680833662743,0.888343564164293,0.919751509141234,0.0733839003424676,0.0729661722706609,0.0737813386798158,"steady",69.8,NA,0.000536092755034102,"down",5,10,25,1e-05,300
0.2,0.874259605348863,0.865049071775539,0.899959204034132,0.0771549188756492,0.0767324052648447,0.077545457799493,"steady",54.2,NA,0.000418600718144381,"down",5,10,25,1e-05,300
0.1,0.836548465487825,0.833614251737855,0.844384716226109,0.0786708250301276,0.0770966188869019,0.0797884124227408,"steady",32.2,NA,0.000406325460720904,"down",5,10,25,1e-05,300
0,0.846555810222821,0.843628435568145,0.85616686001135,0.0801863715549759,0.0788606669465139,0.0812004631651323,"steady",32.2,NA,0.000579459736338651,"down",5,10,25,1e-05,300
