"theta","mean_total","min_total","max_total","mean_yield","min_yield","max_yield","conv_type","conv_years","conv_period","residual","direction","interaction_resource","knife_edge_size","fish_level","tol","t_max"
0,1.15519217719437,1.14050761332503,1.16311062245775,0.0289604227792858,0.0285249738762842,0.0292543468593409,"steady",49.2,NA,0.000307917524522482,"up",1,10,10,1e-05,300
0.1,0.396418123929605,0.389475038993837,0.401604770142243,0.0288883222800947,0.0278780965186703,0.0303030322837943,"steady",73,NA,0.000136836734932571,"up",1,10,10,1e-05,300
0.2,0.370473542279295,0.239624296950752,0.463526525966028,0.0478850091078393,0.019430627948397,0.156899783442215,"cycle",24.2,5.4,0.296321233543938,"up",1,10,10,1e-05,300
0.3,0.416628797933106,0.147032699269553,0.541682272997407,0.0486107936143059,0.0166582456978044,0.318522134843927,"cycle",26.2,6.72,0.984766568512057,"up",1,10,10,1e-05,300
0.4,0.418960713257361,0.100025643939221,0.567398794121174,0.0540325739462533,0.016351309430113,0.383397630833667,"cycle",23.4,7.66,0.0310421365539409,"up",1,10,10,1e-05,300
0.5,0.443004793957183,0.0754443688057264,0.581584855568631,0.048735022126421,0.016247760251389,0.402057318127525,"cycle",24.4,8.12,0.0147424740759145,"up",1,10,10,1e-05,300
0.6,0.449276977346499,0.0604175996792771,0.590454619813982,0.0470875270786151,0.0161908991311047,0.41387342846865,"cycle",25.2,8.4,0.0139048910642413,"up",1,10,10,1e-05,300
0.7,0.453263036299186,0.0505948398643342,0.595688884145563,0.0459497417061885,0.0161684119028983,0.400699324123162,"cycle",25.8,8.6,0.0170065775426555,"up",1,10,10,1e-05,300
0.8,0.454379266132923,0.0443284078663918,0.598761754275275,0.0453070193625359,0.0161549845500098,0.405144154962487,"cycle",26.2,8.7,0.0249427786215788,"up",1,10,10,1e-05,300
0.9,0.4549588731544,0.0398969130540034,0.600032562481189,0.0447831073854847,0.0133433563372667,0.408187405458182,"cycle",26.2,8.74,0.024006106409128,"up",1,10,10,1e-05,300
1,0.454146886619754,0.0384017128115753,0.60007966049893,0.0444481736613794,0.00998275041981539,0.420233428592306,"cycle",26.2,8.74,0.0214980319686706,"up",1,10,10,1e-05,300
1,0.454574295963113,0.0364256540856582,0.600070293743691,0.0441914597114721,0.010025494370882,0.422230086251209,"not_converged",300,NA,0.19233869286985,"down",1,10,10,1e-05,300
0.9,0.455251657151234,0.0406103702675969,0.60003042946632,0.0448243815905195,0.013419405232838,0.421975473262863,"cycle",26.2,8.74,0.189021692763501,"down",1,10,10,1e-05,300
0.8,0.455176184901336,0.0443998141020597,0.598758135722022,0.045357632866577,0.0161496757066155,0.403657610031515,"cycle",26.2,8.7,0.196981152879667,"down",1,10,10,1e-05,300
0.7,0.453425270245116,0.070487185045733,0.59586789456909,0.0460561592544754,0.0161720476959668,0.394007169559235,"cycle",25.8,8.6,0.197079628472908,"down",1,10,10,1e-05,300
0.6,0.449956908192106,0.075256192333344,0.590453897857143,0.0471703867889147,0.0161880917355934,0.41097659985298,"cycle",25.4,8.42,0.210661831752676,"down",1,10,10,1e-05,300
0.5,0.44364525085686,0.0748256112647555,0.581810672306743,0.0486217616636524,0.0161928100360563,0.407188980740554,"cycle",24.4,8.14,0.209901881150218,"down",1,10,10,1e-05,300
0.4,0.433813803565319,0.100946027492516,0.568686341354613,0.050756818147516,0.0162438865084182,0.385212400916473,"cycle",23.2,7.74,0.209207492439865,"down",1,10,10,1e-05,300
0.3,0.417873051862806,0.149830767946275,0.547479471909596,0.0524448744019995,0.0163575182330262,0.328875529867866,"cycle",21.6,7.18,0.214020857012489,"down",1,10,10,1e-05,300
0.2,0.38877535422768,0.217364524046805,0.50925628148405,0.0491645328832929,0.0174406222388982,0.210890664172756,"cycle",20.8,6.4,0.259670582987953,"down",1,10,10,1e-05,300
0.1,0.39649278855316,0.389794044434898,0.401365678186706,0.0288871711362304,0.0279198711703493,0.0302330169010404,"steady",66.4,NA,0.000147433448249186,"down",1,10,10,1e-05,300
0,1.15105148696911,1.12730872613607,1.16316596505405,0.0287764904192899,0.0279687526677447,0.0292560938982613,"steady",66.4,NA,0.000303482621640486,"down",1,10,10,1e-05,300
