"theta","mean_total","min_total","max_total","mean_yield","min_yield","max_yield","conv_type","conv_years","conv_period","residual","direction","interaction_resource","knife_edge_size","fish_level","tol","t_max"
0,0.783539015266615,0.780356383019974,0.799044558780139,0,0,0,"steady",36.4,NA,0.000432819128761118,"up",5,10,0,1e-05,300
0.1,0.568979844959471,0.565451198335467,0.570384602564278,0,0,0,"steady",34,NA,0.000326230653384545,"up",5,10,0,1e-05,300
0.2,0.49016859741661,0.488407029167608,0.491108093166705,0,0,0,"steady",30,NA,0.000257934751105019,"up",5,10,0,1e-05,300
0.3,0.467180522518508,0.463310072205881,0.469307726885862,0,0,0,"steady",29.4,NA,0.000231771288340156,"up",5,10,0,1e-05,300
0.4,0.471333205001032,0.466800243185896,0.474117787761266,0,0,0,"steady",30.6,NA,0.000316179945833004,"up",5,10,0,1e-05,300
0.5,0.510290093996633,0.499754447621318,0.516212417141538,0,0,0,"steady",35.2,NA,0.00070871063581024,"up",5,10,0,1e-05,300
0.6,0.640439532343297,0.613945837709141,0.65438977538481,0,0,0,"steady",56.6,NA,0.000614942318770246,"up",5,10,0,1e-05,300
0.7,0.838531502378147,0.823896984191691,0.849544361086946,0,0,0,"steady",66.2,NA,0.000525100342844848,"up",5,10,0,1e-05,300
0.8,0.806318950982958,0.798388655150153,0.812807777908435,0,0,0,"steady",33.8,NA,0.000533382191584665,"up",5,10,0,1e-05,300
0.9,0.73398535617035,0.726939804758351,0.747127935226271,0,0,0,"steady",23.6,NA,0.000190804982571797,"up",5,10,0,1e-05,300
1,0.663240268010414,0.659283993631238,0.667924995402069,0,0,0,"steady",24.4,NA,0.000429856743302854,"up",5,10,0,1e-05,300
1,0.682410628536125,0.658245533846357,0.731755611750387,0,0,0,"steady",44.6,NA,0.000106066886055896,"down",5,10,0,1e-05,300
0.9,0.727397816174337,0.716587544429111,0.730990264928308,0,0,0,"steady",20.8,NA,0.000346934820166961,"down",5,10,0,1e-05,300
0.8,0.793469065312474,0.790085518822005,0.79774432202905,0,0,0,"steady",28,NA,0.000542010205439413,"down",5,10,0,1e-05,300
0.7,0.855752427592001,0.845438216779405,0.862882100604955,0,0,0,"steady",25.6,NA,0.000604516489432538,"down",5,10,0,1e-05,300
0.6,0.728233624105701,0.702249114012372,0.76519443753356,0,0,0,"steady",83.8,NA,0.000552013690786256,"down",5,10,0,1e-05,300
0.5,0.536069793413451,0.524639084455525,0.55861756169004,0,0,0,"steady",49.4,NA,0.000725524954903635,"down",5,10,0,1e-05,300
0.4,0.482421095203816,0.477794256408946,0.491277171322785,0,0,0,"steady",34.2,NA,0.000439110931537709,"down",5,10,0,1e-05,300
0.3,0.473444183079014,0.47110804566258,0.477524111316912,0,0,0,"steady",32.2,NA,0.000255443123027923,"down",5,10,0,1e-05,300
0.2,0.493707367186076,0.491957247600206,0.496568912180246,0,0,0,"steady",30.4,NA,0.000288201179830864,"down",5,10,0,1e-05,300
0.1,0.570630486782667,0.56861810574004,0.576798177400111,0,0,0,"steady",26.8,NA,0.000167193865206075,"down",5,10,0,1e-05,300
0,0.821613321877717,0.819607831727139,0.825675322493054,0,0,0,"steady",30.8,NA,0.000328387414291766,"down",5,10,0,1e-05,300
